HJ_manualdecision	HJ_comments	Deprecate_category	BIDS_string	Scan_comments
delete	Failed pain run. No behavioral data	delete	sub-0131_ses-01_task-social_acq-mb8_run-05	PVC 05 error on TSA
delete	Failed pain run. No behavioral data	delete	sub-0131_ses-04_task-social_acq-mb8_run-01	- PVC run 01 aborted prematurely
delete	change in equipment parameters	investigate: TR length correct	sub-0001_ses-01_task-social_acq-mb8_run-01	
delete	change in equipment parameters	investigate: TR length correct	sub-0001_ses-01_task-social_acq-mb8_run-02	
delete	change in equipment parameters	investigate: TR length correct	sub-0001_ses-01_task-social_acq-mb8_run-03	
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-03_task-social_acq-mb8_run-01	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-03_task-social_acq-mb8_run-02	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-03_task-social_acq-mb8_run-03	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-03_task-social_acq-mb8_run-04	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-03_task-social_acq-mb8_run-05	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-03_task-social_acq-mb8_run-06	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-04_task-social_acq-mb8_run-01	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-04_task-social_acq-mb8_run-02	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-04_task-social_acq-mb8_run-03	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-04_task-social_acq-mb8_run-04	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-04_task-social_acq-mb8_run-05	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0003_ses-04_task-social_acq-mb8_run-06	#NAME?
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-03_task-social_acq-mb8_run-01	"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-03_task-social_acq-mb8_run-02	"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-03_task-social_acq-mb8_run-03	"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-03_task-social_acq-mb8_run-04	"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-03_task-social_acq-mb8_run-05	"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-03_task-social_acq-mb8_run-06	"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-04_task-social_acq-mb8_run-01	"- Used v2 protocol for arm site measurements
- No calibration for biopac before fractionals task
- Attached PPG to left toe (with EDA on base of left foot) because of participant sprain on right foot
- Paused and stopped biopac twice before beginning saxe task (due to audio)
- To Do: should probably add another fieldmap before PVC
- To Do: ""press s"" ""press e"" for narratives
- Ran biopac calibration before PVC (PPG was unhooked; EDA was hooked during calibration)
- Restarted PVC task because TSA was not in external control mode
- Restarted Align Videos because shutter was on
- Recalibrated biopac before Narratives task (PPG and EDA unhooked during calibration)
- Completed Narratives task during this session"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-04_task-social_acq-mb8_run-02	"- Used v2 protocol for arm site measurements
- No calibration for biopac before fractionals task
- Attached PPG to left toe (with EDA on base of left foot) because of participant sprain on right foot
- Paused and stopped biopac twice before beginning saxe task (due to audio)
- To Do: should probably add another fieldmap before PVC
- To Do: ""press s"" ""press e"" for narratives
- Ran biopac calibration before PVC (PPG was unhooked; EDA was hooked during calibration)
- Restarted PVC task because TSA was not in external control mode
- Restarted Align Videos because shutter was on
- Recalibrated biopac before Narratives task (PPG and EDA unhooked during calibration)
- Completed Narratives task during this session"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-04_task-social_acq-mb8_run-03	"- Used v2 protocol for arm site measurements
- No calibration for biopac before fractionals task
- Attached PPG to left toe (with EDA on base of left foot) because of participant sprain on right foot
- Paused and stopped biopac twice before beginning saxe task (due to audio)
- To Do: should probably add another fieldmap before PVC
- To Do: ""press s"" ""press e"" for narratives
- Ran biopac calibration before PVC (PPG was unhooked; EDA was hooked during calibration)
- Restarted PVC task because TSA was not in external control mode
- Restarted Align Videos because shutter was on
- Recalibrated biopac before Narratives task (PPG and EDA unhooked during calibration)
- Completed Narratives task during this session"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-04_task-social_acq-mb8_run-04	"- Used v2 protocol for arm site measurements
- No calibration for biopac before fractionals task
- Attached PPG to left toe (with EDA on base of left foot) because of participant sprain on right foot
- Paused and stopped biopac twice before beginning saxe task (due to audio)
- To Do: should probably add another fieldmap before PVC
- To Do: ""press s"" ""press e"" for narratives
- Ran biopac calibration before PVC (PPG was unhooked; EDA was hooked during calibration)
- Restarted PVC task because TSA was not in external control mode
- Restarted Align Videos because shutter was on
- Recalibrated biopac before Narratives task (PPG and EDA unhooked during calibration)
- Completed Narratives task during this session"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-04_task-social_acq-mb8_run-05	"- Used v2 protocol for arm site measurements
- No calibration for biopac before fractionals task
- Attached PPG to left toe (with EDA on base of left foot) because of participant sprain on right foot
- Paused and stopped biopac twice before beginning saxe task (due to audio)
- To Do: should probably add another fieldmap before PVC
- To Do: ""press s"" ""press e"" for narratives
- Ran biopac calibration before PVC (PPG was unhooked; EDA was hooked during calibration)
- Restarted PVC task because TSA was not in external control mode
- Restarted Align Videos because shutter was on
- Recalibrated biopac before Narratives task (PPG and EDA unhooked during calibration)
- Completed Narratives task during this session"
delete	change in equipment parameters	investigate: TR length correct	sub-0004_ses-04_task-social_acq-mb8_run-06	"- Used v2 protocol for arm site measurements
- No calibration for biopac before fractionals task
- Attached PPG to left toe (with EDA on base of left foot) because of participant sprain on right foot
- Paused and stopped biopac twice before beginning saxe task (due to audio)
- To Do: should probably add another fieldmap before PVC
- To Do: ""press s"" ""press e"" for narratives
- Ran biopac calibration before PVC (PPG was unhooked; EDA was hooked during calibration)
- Restarted PVC task because TSA was not in external control mode
- Restarted Align Videos because shutter was on
- Recalibrated biopac before Narratives task (PPG and EDA unhooked during calibration)
- Completed Narratives task during this session"
bug	partial data?	investigate: TR length correct	sub-0011_ses-03_task-social_acq-mb8_run-02	"- PVC run 02 (pain) stopped in the middle. no connection (however, TTL bells were in the background. ) Maryam took a photo of the error message >> check spacetop recruitment channel
- alignvideo even though we checked audio right before short video, participant reported that they could not hear anything during run 1"
delete	audio failure	investigate: TR length correct	sub-0011_ses-03_task-alignvideo_acq-mb8_run-01	"- PVC run 02 (pain) stopped in the middle. no connection (however, TTL bells were in the background. ) Maryam took a photo of the error message >> check spacetop recruitment channel
- alignvideo even though we checked audio right before short video, participant reported that they could not hear anything during run 1"
bug	Behavioral data in TMP	investigate: TR length correct	sub-0019_ses-03_task-social_acq-mb8_run-02	- PVC run-02 pain run. Medoc crashed - the program was hanging without any error message. Should be able to use the other trials that were collected. 
keep	No Pain  expectation nor outcome rating 	investigate: TR length correct	sub-0020_ses-01_task-social_acq-mb8_run-01	"""- PVC Participant didnÕt understand the instructions
did not rate ÒexpectÓ ratings
did not use button for logging in ratings
Has been instructed after 1st run, and has been rating correctly afterwards"""
keep 	"https://github.com/spatialtopology/d_beh/issues/4
Check if partial data exists on stim PC. If not, delete bold data altogether."	investigate: TR length correct	sub-0020_ses-04_task-social_acq-mb8_run-06	o PVC run06 pain task2: Medoc put TSA in safe mode during last few trials
bug	Behavioral data in TMP	investigate: TR length correct	sub-0021_ses-01_task-alignvideo_acq-mb8_run-03	"o PVC: used sub-0098 to collect data >> moved data to behavioral git >> however, still need to update subject ids that are collected within file
o PVC: hard skipped run 6 because of time - 
Align videos: Run 3: completed full run, but on the end screen, the press ""e"" command didn't work so we had to close out of matlab in order to start run 4"
keep	check FD and motion parameters	investigate: TR length correct	sub-0021_ses-03_task-social_acq-mb8_run-04	o PVC run04 Vicarious and pvc run05 pain - SOOOOO much movement!!!!!
keep	check FD and motion parameters	investigate: TR length correct	sub-0021_ses-03_task-social_acq-mb8_run-05	o PVC run04 Vicarious and pvc run05 pain - SOOOOO much movement!!!!!
keep	check FD and motion parameters	investigate: TR length correct	sub-0021_ses-04_task-social_acq-mb8_run-03	o participant moved sooooo much during the PVC run 
keep	check FD and motion parameters	investigate: TR length correct	sub-0021_ses-04_task-social_acq-mb8_run-06	o participant moved sooooo much during the PVC run 
keep	check FD and motion parameters	investigate: TR length correct	sub-0024_ses-03_task-social_acq-mb8_run-03	"- PVC run-05: scanner error during 5th run of PVC
- PVC run-06: participant could not tolerate pain task and thus we skipped. 
- PVC run-05 no no data for run 5
"
delete	Trackball failure	investigate: TR length correct	sub-0025_ses-01_task-social_acq-mb8_run-04	"- After 4th PVC run they noted that they could not move the track ball to make a rating. We re-calibrated the trackball after that, but they still had difficulties moving the cursor out to the semi-circle. It was still a problem during the fifth run. We recalibrated it again and it was fixed during the 6th run of PVC.
- Trackball was fine for videos"
delete	Trackball failure	investigate: TR length correct	sub-0025_ses-01_task-social_acq-mb8_run-05	"- After 4th PVC run they noted that they could not move the track ball to make a rating. We re-calibrated the trackball after that, but they still had difficulties moving the cursor out to the semi-circle. It was still a problem during the fifth run. We recalibrated it again and it was fixed during the 6th run of PVC.
- Trackball was fine for videos"
keep	Cognitive task accuracy infomration missing	investigate: TR length correct	sub-0039_ses-01_task-social_acq-mb8_run-02	"- PVC 01: participant is not responding in the expect phase. 
- PVC 02: participant did not respond to the same/diff mental rotation task, we checked after the run, and participant confirmed that her response was not fast enough. 
- PVC 03: participant ran under John Smith instead of sub-0039
- no data collected for align videos 03 04 due to timing"
delete	delay in stimuli and scan acquisition	investigate: TR length correct	sub-0046_ses-02_task-faces_acq-mb8_run-03	"-third faces run ran over scan by approx. 7-10 face stimuli
-had to adjust volume on narratives run1"
keep	Trackball lag. Let user determine	investigate: TR length correct	sub-0052_ses-01_task-social_acq-mb8_run-01	"- Participant noted lag with trackball during practice, so we re-calibrated before first PVC run
- After first PVC run, the participant noted that there were still issues with the trackball (couldn't reach the semi-circle a cpl times) and we re-calibrated again before starting the second PVC run
- No issues with trackball after second re-calibration"
delete	Stimuli failure	investigate: TR length correct	sub-0056_ses-02_task-alignvideo_acq-mb8_run-01	"- Unfortunately, the person told us that they could not hear the audio for the videos only after we finished all four runs. They confirmed that the audio worked for the other tasks. After they left we confirmed that the audio was playing through the headphones properly."
delete	Stimuli failure	investigate: TR length correct	sub-0056_ses-02_task-alignvideo_acq-mb8_run-02	"- Unfortunately, the person told us that they could not hear the audio for the videos only after we finished all four runs. They confirmed that the audio worked for the other tasks. After they left we confirmed that the audio was playing through the headphones properly."
delete	Stimuli failure	investigate: TR length correct	sub-0056_ses-02_task-alignvideo_acq-mb8_run-03	"- Unfortunately, the person told us that they could not hear the audio for the videos only after we finished all four runs. They confirmed that the audio worked for the other tasks. After they left we confirmed that the audio was playing through the headphones properly."
delete	Stimuli failure	investigate: TR length correct	sub-0056_ses-02_task-alignvideo_acq-mb8_run-04	"- Unfortunately, the person told us that they could not hear the audio for the videos only after we finished all four runs. They confirmed that the audio worked for the other tasks. After they left we confirmed that the audio was playing through the headphones properly."
keep	Let user determine. Pain outcome ratings still collected	investigate: TR length correct	sub-0058_ses-01_task-social_acq-mb8_run-01	-PVC run1(pain) - sub didn't rate expectations
keep	Not sure why this file was flagged	investigate: TR length correct	sub-0069_ses-01_task-social_acq-mb8_run-03	"010 run-01
011 scout_ses-51
012 fmap_run-51
014 func_run-01
015 func_run-02
016 func_run-03
017 func_run-03
018 scout_ses-61
019 scout_ses-01
020 fmap_run-61
021 fmap_run-61
022 func_run-04
023 func_run-05
024 func_run-06"
bug	Need to rename the runs. Check issue https://github.com/spatialtopology/spacetop-prep/issues/97	investigate: TR length correct	sub-0075_ses-01_task-social_acq-mb8_run-01	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs PCVCPV. We used the first 4 runs on the sccanner and skipped the last two. "
bug	Not sure. No notes	investigate: TR length correct	sub-0079_ses-03_task-social_acq-mb8_run-02	
keep	Missing expectation ratings	investigate: TR length correct	sub-0112_ses-01_task-social_acq-mb8_run-01	"PVC run 01: talked to participant about expectation ratings. did not lock in any ratingsimage: 16 movement. 
PVC run 06: extreme movement. potentially removed. "
keep	Extreme movement. Determine usage	investigate: TR length correct	sub-0112_ses-01_task-social_acq-mb8_run-06	"PVC run 01: talked to participant about expectation ratings. did not lock in any ratingsimage: 16 movement. 
PVC run 06: extreme movement. potentially removed. "
bug	"check if partial behavioral data exists. Major artifact. - PVC run 03 p moved during run 3 and 4. also reminded not to move
- PVC run 03 - thermode trial was hanging. 
- observed artifact during PVC run 03, slice 127"	investigate: TR length correct	sub-0112_ses-04_task-social_acq-mb8_run-03	"Participant moved so much - p was informed not to move
- PVC run 02 - p asked to come out of scanner. redid fieldmap and yoked with reference
- PVC run 03 p moved during run 3 and 4. also reminded not to move
- PVC run 03 - thermode trial was hanging. 
- observed artifact during PVC run 03, slice 127
- PVC run 05 - biopac terminated towards end of data collection
- PVC run 06 - restarted run. 
- aligne video - p could only hear audio in left ear, during the middle of the run. Couldn't identify which run"
keep	Pain trials successfully delivered. Potential error on scannotes	investigate: TR length correct	sub-0112_ses-04_task-social_acq-mb8_run-04	"Participant moved so much - p was informed not to move
- PVC run 02 - p asked to come out of scanner. redid fieldmap and yoked with reference
- PVC run 03 p moved during run 3 and 4. also reminded not to move
- PVC run 03 - thermode trial was hanging. 
- observed artifact during PVC run 03, slice 127
- PVC run 05 - biopac terminated towards end of data collection
- PVC run 06 - restarted run. 
- aligne video - p could only hear audio in left ear, during the middle of the run. Couldn't identify which run"
bug	potential audio issue	investigate: TR length correct	sub-0112_ses-04_task-alignvideo_acq-mb8_run-01	"Participant moved so much - p was informed not to move
- PVC run 02 - p asked to come out of scanner. redid fieldmap and yoked with reference
- PVC run 03 p moved during run 3 and 4. also reminded not to move
- PVC run 03 - thermode trial was hanging. 
- observed artifact during PVC run 03, slice 127
- PVC run 05 - biopac terminated towards end of data collection
- PVC run 06 - restarted run. 
- aligne video - p could only hear audio in left ear, during the middle of the run. Couldn't identify which run"
bug	potential audio issue	investigate: TR length correct	sub-0112_ses-04_task-alignvideo_acq-mb8_run-02	"Participant moved so much - p was informed not to move
- PVC run 02 - p asked to come out of scanner. redid fieldmap and yoked with reference
- PVC run 03 p moved during run 3 and 4. also reminded not to move
- PVC run 03 - thermode trial was hanging. 
- observed artifact during PVC run 03, slice 127
- PVC run 05 - biopac terminated towards end of data collection
- PVC run 06 - restarted run. 
- aligne video - p could only hear audio in left ear, during the middle of the run. Couldn't identify which run"
keep	No cognitive data except for last trial. Let user determind	investigate: TR length correct	sub-0124_ses-01_task-social_acq-mb8_run-03	
delete	Equipment failure	investigate: TR length correct	sub-0128_ses-04_task-social_acq-mb8_run-05	"- PVC initially done under john doe in Medoc
- Issues with Medoc during second pain run (run 5). Software was in external control but not triggering stimuli. Participant estimated she had 4-5 stimuli with no pain.
- Run 5 was redone at the end of the scan using the correct sub # in medoc 
- Attempt to redo run 5 at end of scan resulted in same trigger error in Medoc"
delete	change in equipment parameters	investigate: other	sub-0001_ses-01_task-social_acq-mb8_run-04	
delete	change in equipment parameters	investigate: other	sub-0001_ses-01_task-social_acq-mb8_run-05	
delete	change in equipment parameters	investigate: other	sub-0001_ses-01_task-social_acq-mb8_run-06	
keep	Let user determind	investigate: other	sub-0002_ses-03_task-shortvideo_acq-mb8_run-01	"- PVC thermode failure (8002) 
- PVC questionable biopac for the PVC runs (EDA) 
- short-video: audio was off (for first 2 min)
- Also, behavioural RA (MA) noticed that she dozed off a couple of times "
NA	No BOLD data	investigate: other	sub-0006_ses-04_task-fractional_acq-mb8_run-01	"- FRACTIONAL: no data from fractionals
- AUDIO audio doesn't work for the left ear"
NA	No BOLD data	investigate: other	sub-0006_ses-04_task-fractional_acq-mb8_run-02	"- FRACTIONAL: no data from fractionals
- AUDIO audio doesn't work for the left ear"
NA	No BOLD data. Time constraints	investigate: other	sub-0021_ses-01_task-social_acq-mb8_run-06	"- PVC: used sub-0098 to collect data >> moved data to behavioral git >> however, still need to update subject ids that are collected within file
- PVC: hard skipped run 6 because of time - 
Align videos: Run 3: completed full run, but on the end screen, the press ""e"" command didn't work so we had to close out of matlab in order to start run 4"
NA	No BOLD data. Time constraints	investigate: other	sub-0024_ses-01_task-social_acq-mb8_run-04	-PVC: skipped second pain run due to time and repeating first pain run due to medoc error code -Align Videos: Skipped last run due to time. Subject had to make it to work. 
NA	No BOLD data. Time constraints	investigate: other	sub-0024_ses-01_task-alignvideo_acq-mb8_run-04	-PVC: skipped second pain run due to time and repeating first pain run due to medoc error code -Align Videos: Skipped last run due to time. Subject had to make it to work. 
NA	No BOLD data. Participant request	investigate: other	sub-0024_ses-03_task-social_acq-mb8_run-06	"- PVC run-05: scanner error during 5th run of PVC
- PVC run-06: participant could not tolerate pain task and thus we skipped. 
- PVC run-05 no no data for run 5
"
NA	No BOLD data. Participant request	investigate: other	sub-0024_ses-04_task-social_acq-mb8_run-01	o participant asked explicitly to skip the pain runs
NA	No BOLD data. Participant request	investigate: other	sub-0024_ses-04_task-social_acq-mb8_run-05	o participant asked explicitly to skip the pain runs
delete	Experiment and scan out of sync	investigate: other	sub-0026_ses-03_shortvideo_acq-mb8_run-01	"o PVC 05: biopac acquisition terminated. Started in the middle, so the latter half may not be aligned well, need to reverse track it with the last TR. 
o short videos: scanner ended 10 seconds earlier than the experiment. Participant was watching last clip and ratings after the scanner ended. LUKE: this is due to INFO: Statechange in progress with GST_STATE_CHANGE_ASYNC. A low level ptb issue. Luke is looking into it."
NA	No BOLD data	investigate: other	sub-0028_ses-01_task-alignvideo_acq-mb8_run-02	-Ran late. Subject had to be gone at a certain time so we skipped 3 align vids. 
NA	No BOLD data	investigate: other	sub-0028_ses-01_task-alignvideo_acq-mb8_run-03	-Ran late. Subject had to be gone at a certain time so we skipped 3 align vids. 
NA	No BOLD data	investigate: other	sub-0028_ses-01_task-alignvideo_acq-mb8_run-04	-Ran late. Subject had to be gone at a certain time so we skipped 3 align vids. 
NA	No BOLD data. Equipment failure	investigate: other	sub-0029_ses-02_task-faces_acq-mb8_run-03	"- Faces 03: SKIPPED (Medoc couldn't finish loading faces 03 -stuck at 79%- had to do hard reboot of stim PC; still encountered u3 errors after troubleshooting). 
- Participant said she'd be willing to come early/stay late at another session to redo the skipped task"
NA	No BOLD data. Equipment failure	investigate: other	sub-0035_ses-03_task-social_acq-mb8_run-02	- Dead thermode from last scan. No pain data.
NA	No BOLD data. Equipment failure	investigate: other	sub-0035_ses-03_task-social_acq-mb8_run-05	- Dead thermode from last scan. No pain data.
NA	No BOLD data. Time constraints	investigate: other	sub-0039_ses-01_task-alignvideo_acq-mb8_run-03	"- PVC 01: participant is not responding in the expect phase. 
- PVC 02: participant did not respond to the same/diff mental rotation task, we checked after the run, and participant confirmed that her response was not fast enough. 
- PVC 03: participant ran under John Smith instead of sub-0039
- no data collected for align videos 03 04 due to timing"
NA	No BOLD data. Time constraints	investigate: other	sub-0039_ses-01_task-alignvideo_acq-mb8_run-04	"- PVC 01: participant is not responding in the expect phase. 
- PVC 02: participant did not respond to the same/diff mental rotation task, we checked after the run, and participant confirmed that her response was not fast enough. 
- PVC 03: participant ran under John Smith instead of sub-0039
- no data collected for align videos 03 04 due to timing"
NA	No BOLD data. Equipment failure	investigate: other	sub-0040_ses-03_task-social_acq-mb8_run-02	- No thermode/skipped pain task
NA	No BOLD data. Equipment failure	investigate: other	sub-0040_ses-03_task-social_acq-mb8_run-04	- No thermode/skipped pain task
NA	No BOLD data	investigate: other	sub-0041_ses-01_task-alignvideo_acq-mb8_run-04	
NA	No BOLD data. Equipment failure	investigate: other	sub-0041_ses-03_task-social_acq-mb8_run-02	- Medoc went over the allowed temp and errored out and we didn't catch it. So we repeated the second run. It failed again with error saying the tsa2 did not reach the the temperature in the required time. Then the pre-test failed. Debugging now
NA	No BOLD data. Equipment failure	investigate: other	sub-0041_ses-03_task-social_acq-mb8_run-05	- Medoc went over the allowed temp and errored out and we didn't catch it. So we repeated the second run. It failed again with error saying the tsa2 did not reach the the temperature in the required time. Then the pre-test failed. Debugging now
NA	No BOLD data. Time constraints	investigate: other	sub-0057_ses-04_task-alignvideo_acq-mb8_run-01	Align Vid: No data since subject needed to use the bathroom and we would have been put behind if we put her back in the scanner again. 
NA	No BOLD data. Time constraints	investigate: other	sub-0057_ses-04_task-alignvideo_acq-mb8_run-02	Align Vid: No data since subject needed to use the bathroom and we would have been put behind if we put her back in the scanner again. 
NA	No BOLD data. Equipment failure	investigate: other	sub-0059_ses-04_task-social_acq-mb8_run-02	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs CPVVPC. We skipped the ryns on the scanner accordingly. "
NA	No BOLD data. Equipment failure	investigate: other	sub-0059_ses-04_task-social_acq-mb8_run-05	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs CPVVPC. We skipped the ryns on the scanner accordingly. "
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-social_acq-mb8_run-02	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-social_acq-mb8_run-03	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-social_acq-mb8_run-04	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-social_acq-mb8_run-05	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-social_acq-mb8_run-06	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-alignvideo_acq-mb8_run-01	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-alignvideo_acq-mb8_run-02	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-alignvideo_acq-mb8_run-03	o sub withdrew after first PVC pain run
NA	No BOLD data. Withdrew	investigate: other	sub-0063_ses-01_task-alignvideo_acq-mb8_run-04	o sub withdrew after first PVC pain run
NA	No BOLD data. Equipment failure	investigate: other	sub-0064_ses-03_task-social_acq-mb8_run-03	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs CVPVCP"
keep	"Typo: task-social run-06 no_data, task-shortvideo complete"	investigate: other	sub-0064_ses-03_task-shortvideo_acq-mb8_run-01	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs CVPVCP"
NA	No BOLD data. Failed pain run. No behavioral data	investigate: other	sub-0064_ses-04_task-social_acq-mb8_run-05	PVC: Thermode was received and passed the test yesterday but failed the first pain run. We skipped both pain runs for this participant PCVCPV
NA	No BOLD data. Equipment failure	investigate: other	sub-0066_ses-01_task-social_acq-mb8_run-02	"PVC: due to thermode error 8007, we skipped both pain runs VPCPVC and reopened matlab to make other runs. "
NA	No BOLD data. Equipment failure	investigate: other	sub-0066_ses-01_task-social_acq-mb8_run-04	"PVC: due to thermode error 8007, we skipped both pain runs VPCPVC and reopened matlab to make other runs. "
NA	No BOLD data. Equipment failure	investigate: other	sub-0066_ses-03_task-social_acq-mb8_run-02	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs CPVVPC
R03: After the first run, matlab was closed up and openned again but something in the code was changed and had to get it from github. so procceded with short and then align vids and then went back to run 3 of PVC.  "
NA	No BOLD data. Equipment failure	investigate: other	sub-0066_ses-03_task-social_acq-mb8_run-05	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs CPVVPC
R03: After the first run, matlab was closed up and openned again but something in the code was changed and had to get it from github. so procceded with short and then align vids and then went back to run 3 of PVC.  "
NA	No BOLD data. Equipment failure	investigate: other	sub-0069_ses-03_task-social_acq-mb8_run-01	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs PVCCVP. We ran run-02, 03, 04, 05"
NA	No BOLD data. Equipment failure	investigate: other	sub-0069_ses-03_task-social_acq-mb8_run-06	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs PVCCVP. We ran run-02, 03, 04, 05"
NA	No BOLD data. Equipment failure	investigate: other	sub-0069_ses-04_task-social_acq-mb8_run-01	"PVC: Due to current thermode issues and all being dysfunctional, we skipped the pain runs PCVCPV. "
